Table with row headers in column B and NAICS codes in column A with column headers in row 4,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
444,   Building mat. and garden equip. and supplies dealers ………………………………………...…………………………………………………………………………………………………,109458.0,104122,95257,91543,89344,84910,96525,108120,110635,105907,96807.0,83536.0,76363.0,72899.0,68580.0,61294.0,56625.0,51355.0,49097.0,46026.0,44988.0,39831.0
4441,   Building mat. and supplies dealers ………………………………………...…………………………………………………………………………………………………,96231.0,91860,84308,80697,78584,76534,85680,97594,100679,96538,86817.0,74124.0,67338.0,63645.0,59398.0,52562.0,48068.0,43599.0,41795.0,38866.0,38308.0,33780.0
445,   Food and beverage stores ………………………………………...…………………………………………………………………………………………………,184717.0,177687,175090,172435,165654,161982,165090,160065,153439,147328,143738.0,137796.0,133742.0,132239.0,120627.0,119118.0,111243.0,106582.0,104476.0,101291.0,96640.0,93364.0
4451,   Grocery stores ………………………………………...…………………………………………………………………………………………………,161449.0,155507,153868,152243,145929,142968,146223,141849,136190,130776,127553.0,122796.0,119451.0,118091.0,107029.0,106210.0,98365.0,94800.0,92787.0,90234.0,85901.0,83440.0
4453,"   Beer, wine, and liquor stores ………………………………………...…………………………………………………………………………………………………",13969.0,13330,12486,11797,11609,11072,10849,10527,9893,9335,8981.0,8238.0,7808.0,7787.0,7696.0,7214.0,7254.0,6403.0,6495.0,6029.0,5897.0,5237.0
446,   Health and personal care stores ………………………………………...…………………………………………………………………………………………………,89515.0,84670,81675,78560,75817,72556,70418,69281,67710,64391,62505.0,58840.0,54132.0,49865.0,46733.0,42783.0,40492.0,37396.0,33464.0,30352.0,29471.0,28405.0
4461,   Health and personal care stores ………………………………………...…………………………………………………………………………………………………,89515.0,84670,81675,78560,75817,72556,70418,69281,67710,64391,62505.0,58840.0,54132.0,49865.0,46733.0,42783.0,40492.0,37396.0,33464.0,30352.0,29471.0,28405.0
44611,   Pharmacies and drug stores ………………………………………...…………………………………………………………………………………………………,62233.0,57539,55331,54372,52806,51135,49110,48313,48322,45814,44362.0,43791.0,39932.0,36611.0,33375.0,31013.0,28873.0,26345.0,23567.0,21549.0,21429.0,21149.0
447,   Gasoline stations ………………………………………...…………………………………………………………………………………………………,66597.0,63786,61202,59552,53945,50198,63719,60671,60459,61145,56267.0,50226.0,44520.0,47367.0,47969.0,45288.0,42423.0,44230.0,43722.0,41259.0,36748.0,33751.0
448,   Clothing and clothing access. stores ………………………………………...…………………………………………………………………………………………………,112825.0,113270,109361,104173,96794,87135,94079,99232,99144,91990,87866.0,80798.0,75240.0,70077.0,72314.0,68772.0,63220.0,58128.0,56079.0,52951.0,53682.0,51158.0
4481,   Clothing stores ………………………………………...…………………………………………………………………………………………………,81497.0,80509,79259,75279,70605,64507,67859,71651,70669,65909,62497.0,57423.0,52360.0,49309.0,50483.0,47210.0,43685.0,39877.0,37326.0,34903.0,35915.0,34251.0
44811,   Men's clothing stores ………………………………………...…………………………………………………………………………………………………,4593.0,4488,4208,4086,3621,3486,4091,4305,4471,4403,4584.0,4321.0,3863.0,3940.0,4391.0,4297.0,4510.0,4431.0,4182.0,3907.0,4467.0,4215.0
44812,   Women's clothing stores ………………………………………...…………………………………………………………………………………………………,20553.0,20722,20992,19729,18545,17362,17749,19595,19401,18139,17273.0,15832.0,14024.0,13637.0,13658.0,12196.0,11474.0,10924.0,11021.0,10657.0,11286.0,11949.0
44814,   Family clothing stores ………………………………………...…………………………………………………………………………………………………,37413.0,37205,35477,34041,33015,29787,31677,33330,33785,31775,29610.0,27006.0,25347.0,22899.0,24005.0,22726.0,20713.0,18029.0,16123.0,14787.0,15113.0,13650.0
4482,   Shoe stores ………………………………………...…………………………………………………………………………………………………,15721.0,15641,14592,13741,13381,11850,12738,12586,12836,12368,11192.0,10582.0,10232.0,9396.0,9417.0,9664.0,9328.0,8913.0,8979.0,8732.0,8669.0,8159.0
451,"   Sporting goods, hobby, book, and music stores ………………………………………...…………………………………………………………………………………………………",35905.0,35337,33972,32440,32128,31072,31626,33935,32713,32016,32106.0,29964.0,29293.0,29656.0,29324.0,27762.0,25611.0,24607.0,22742.0,22656.0,22480.0,19856.0
4511,"   Sporting goods, hobby, and musical instrument stores ……………………………………………………………………………………………",29991.0,29466,28249,26529,25485,23964,24499,25010,23894,22213,21683.0,20689.0,20021.0,19864.0,19575.0,18043.0,16857.0,16048.0,15271.0,14270.0,14711.0,12891.0
452,   General merchandise stores ………………………………………...…………………………………………………………………………………………………,179169.0,173101,169630,172993,169144,159803,154941,155246,147407,147230,138119.0,126529.0,112916.0,109670.0,108794.0,104128.0,95452.0,88104.0,83631.0,80323.0,75793.0,74259.0
4521,   Department stores ………………………………………...…………………………………………………………………………………………………,55989.0,56680,57331,62028,62063,60691,62573,67997,69153,72263,72239.0,66018.0,65993.0,70070.0,73215.0,72585.0,68699.0,60565.0,57950.0,57010.0,54721.0,55366.0
45211,   Department stores ………………………………………...…………………………………………………………………………………………………,55989.0,56680,57331,62028,62063,60691,62573,67997,69153,72263,72239.0,66018.0,65993.0,70070.0,73215.0,72585.0,68699.0,60565.0,57950.0,57010.0,54721.0,55366.0
452111,      Department stores (except discount dept. stores) ………………………………………...…………………………………………………………………………………………………,22522.0,22928,23319,25611,25104,23519,25246,29352,30353,33568,30896.0,29941.0,31502.0,31996.0,35563.0,35867.0,33922.0,34258.0,34255.0,32478.0,32638.0,32542.0
452112,      Discount dept. stores ………………………………………...…………………………………………………………………………………………………,33467.0,33752,34012,36417,36959,37172,37327,38645,38800,38695,41343.0,36077.0,34491.0,38074.0,37652.0,36718.0,34777.0,26307.0,23695.0,24532.0,22083.0,22824.0
4529,   Other general merchandise stores ………………………………………...…………………………………………………………………………………………………,123180.0,116421,112299,110965,107081,99112,92368,87249,78254,74967,65880.0,60511.0,46923.0,39600.0,35579.0,31543.0,26753.0,27539.0,25681.0,23313.0,21072.0,18893.0
45291,   Warehouse clubs and supercenters ………………………………………...…………………………………………………………………………………………………,99413.0,92963,89524,89641,88023,80484,75770,71055,62197,60158,51017.0,46023.0,35209.0,27416.0,24063.0,20401.0,16365.0,17296.0,15129.0,12442.0,11345.0,7959.0
45299,   All other gen. merchandise stores ………………………………………...…………………………………………………………………………………………………,23767.0,23458,22775,21324,19058,18628,16598,16194,16057,14809,14863.0,14488.0,11714.0,12184.0,11516.0,11142.0,10388.0,10243.0,10552.0,10871.0,9727.0,10934.0
453,   Miscellaneous store retailers ………………………………………...…………………………………………………………………………………………………,55434.0,52632,50583,49201,47526,44320,49130,52935,51183,46970,46572.0,45516.0,45069.0,42788.0,45376.0,43397.0,42291.0,38948.0,35736.0,33285.0,30304.0,27399.0
454,   Nonstore retailers ………………………………………...…………………………………………………………………………………………………,185690.0,168826,154941,140837,130043,116917,119067,119613,111181,99822,92774.0,86912.0,80153.0,72862.0,73975.0,63680.0,58860.0,55902.0,53352.0,47198.0,44189.0,38298.0
4541,   Electronic shopping and mail-order houses ………………………………………...…………………………………………………………………………………………………,150754.0,134161,122359,107952,97165,85481,85118,85352,78100,66596,59906.0,53422.0,47766.0,42962.0,43870.0,36678.0,32821.0,29944.0,26873.0,23030.0,20988.0,18186.0
 Footnotes: ,,,,,,,,,,,,,,,,,,,,,,,
"1GAFO represents stores classified in the following NAICS codes: 442, 443, 448, 451, 452, and 4532.  NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,,,,,,,,,,
rRevised Data.,,,,,,,,,,,,,,,,,,,,,,,
 Note: Estimated measures of sample variability can be found at http://www2.census.gov/retail/releases/current/arts/reliability_tables.xls.,,,,,,,,,,,,,,,,,,,,,,,
"Note: Estimates exclude food services.  Retail total and other subsector totals may include data for kinds of business not shown.  Estimates have not been adjusted for price changes.  Additional information on confidentiality protection, sampling error, nonsampling error, sample design, and definitions can be found on the Internet at http://www.census.gov/retail/arts/how_surveys_are_collected.html.",,,,,,,,,,,,,,,,,,,,,,,
