Year,Product,Month,Sales
2012,Office Supplies,July,9173
2012,Furniture,Aug,16256
2012,Technology,Aug,8656
2012,Office Supplies,Aug,9093
2012,Furniture,Sept,16233
2012,Technology,Sept,8619
2012,Office Supplies,Sept,9111
2012,Furniture,Oct,15766
2012,Technology,Oct,8350
2012,Office Supplies,Oct,9148
2012,Furniture,Nov,16301
2012,Technology,Nov,8660
2012,Office Supplies,Nov,9083
2012,Furniture,Dec,16759
2012,Technology,Dec,8800
2012,Office Supplies,Dec,9329
2013,Furniture,Jan,16734
2013,Technology,Jan,8828
2013,Office Supplies,Jan,9224
2013,Furniture,Feb,16754
2013,Technology,Feb,8904
2013,Office Supplies,Feb,9288
2013,Furniture,Mar,16534
2013,Technology,Mar,8683
2013,Office Supplies,Mar,9384
2013,Furniture,Apr,16555
2013,Technology,Apr,8741
2013,Office Supplies,Apr,9341
2013,Furniture,May,16470
2013,Technology,May,8737
2013,Office Supplies,May,9358
2013,Furniture,June,16716
2013,Technology,June,8760
2013,Office Supplies,June,9206
2013,Furniture,July,16645
2013,Technology,July,8708
2013,Office Supplies,July,9237
2013,Furniture,Aug,16692
2013,Technology,Aug,8710
2013,Office Supplies,Aug,9334
2013,Furniture,Sept,16695
2013,Technology,Sept,8654
2013,Office Supplies,Sept,9527
2013,Furniture,Oct,16911
2013,Technology,Oct,8771
2013,Office Supplies,Oct,9515
2013,Furniture,Nov,16853
2013,Technology,Nov,8651
2013,Office Supplies,Nov,9597
2013,Furniture,Dec,16521
2013,Technology,Dec,8608
2013,Office Supplies,Dec,9429
2014,Furniture,Jan,16388
2014,Technology,Jan,8637
2014,Office Supplies,Jan,9287
2014,Furniture,Feb,16725
2014,Technology,Feb,8677
2014,Office Supplies,Feb,9429
2014,Furniture,Mar,16911
2014,Technology,Mar,8725
2014,Office Supplies,Mar,9510
2014,Furniture,Apr,17003
2014,Technology,Apr,8706
2014,Office Supplies,Apr,9408
2014,Furniture,May,16864
2014,Technology,May,8588
2014,Office Supplies,May,9574
2014,Furniture,June,16803
2014,Technology,June,8516
2014,Office Supplies,June,9640
2014,Furniture,July,16919
2014,Technology,July,8607
2014,Office Supplies,July,9669
2014,Furniture,Aug,17131
2014,Technology,Aug,8684
2014,Office Supplies,Aug,9803
2014,Furniture,Sept,17276
2014,Technology,Sept,8880
2014,Office Supplies,Sept,9772
2014,Furniture,Oct,17233
2014,Technology,Oct,8826
2014,Office Supplies,Oct,9950
2014,Furniture,Nov,17564
2014,Technology,Nov,9040
2014,Office Supplies,Nov,9885
2014,Furniture,Dec,17675
2014,Technology,Dec,9019
2014,Office Supplies,Dec,9875
2015,Furniture,Jan,17495
2015,Technology,Jan,8876
2015,Office Supplies,Jan,9903
2015,Furniture,Feb,17161
2015,Technology,Feb,8737
2015,Office Supplies,Feb,9818
2015,Furniture,Mar,17229
2015,Technology,Mar,8552
2015,Office Supplies,Mar,9834
2015,Furniture,Apr,17438
2015,Technology,Apr,8650
2015,Office Supplies,Apr,9807
2015,Furniture,May,17669
2015,Technology,May,8704
2015,Office Supplies,May,10070
2015,Furniture,June,17635
2015,Technology,June,8839
2015,Office Supplies,June,10100
2015,Furniture,July,17590
2015,Technology,July,8650
2015,Office Supplies,July,10144
2015,Furniture,Aug,17638
2015,Technology,Aug,8661
2015,Office Supplies,Aug,10224
2015,Furniture,Sept,17652
2015,Technology,Sept,8694
2015,Office Supplies,Sept,9816
2015,Furniture,Oct,17648
2015,Technology,Oct,8612
2015,Office Supplies,Oct,9804
2015,Furniture,Nov,17482
2015,Technology,Nov,8446
2015,Office Supplies,Nov,9923
2015,Furniture,Dec,17691
2015,Technology,Dec,8464
2015,Office Supplies,Dec,9854
2016,Furniture,Jan,17412
2016,Technology,Jan,8319
2016,Office Supplies,Jan,9876
2016,Furniture,Feb,17566
2016,Technology,Feb,8432
2016,Office Supplies,Feb,9839
2016,Furniture,Mar,17374
2016,Technology,Mar,8289
2016,Office Supplies,Mar,10080
2016,Furniture,Apr,17377
2016,Technology,Apr,8309
2016,Office Supplies,Apr,10222
2016,Furniture,May,17450
2016,Technology,May,8334
2016,Office Supplies,May,10068
2016,Furniture,June,17571
2016,Technology,June,8309
2016,Office Supplies,June,10131
2016,Furniture,July,17580
2016,Technology,July,8386
2016,Office Supplies,July,10097
2016,Furniture,Aug,17656
2016,Technology,Aug,8484
2016,Office Supplies,Aug,10003
2016,Furniture,Sept,17546
2016,Technology,Sept,8170
2016,Office Supplies,Sept,10270
2016,Furniture,Oct,17292
2016,Technology,Oct,8067
2016,Office Supplies,Oct,10425
2016,Furniture,Nov,17073
2016,Technology,Nov,7887
2016,Office Supplies,Nov,10039
2016,Furniture,Dec,17174
2016,Technology,Dec,8063
2016,Office Supplies,Dec,10196
2017,Furniture,Jan,17470
2017,Technology,Jan,8163
2017,Office Supplies,Jan,10207
2017,Furniture,Feb,17414
2017,Technology,Feb,8092
2017,Office Supplies,Feb,10396
2017,Furniture,Mar,17664
2017,Technology,Mar,8291
2017,Office Supplies,Mar,10303
2017,Furniture,Apr,17667
2017,Technology,Apr,8401
2017,Office Supplies,Apr,10382
2017,Furniture,May,17578
2017,Technology,May,8249
2017,Office Supplies,May,10152
2017,Furniture,June,17558
2017,Technology,June,8177
2017,Office Supplies,June,10154
2017,Furniture,July,17440
2017,Technology,July,8093
2017,Office Supplies,July,10403
2017,Furniture,Aug,17528
2017,Technology,Aug,8108
2017,Office Supplies,Aug,10362
2017,Furniture,Sept,17549
2017,Technology,Sept,8181
2017,Office Supplies,Sept,10469
2017,Furniture,Oct,17861
2017,Technology,Oct,8247
2017,Office Supplies,Oct,10510
2017,Furniture,Nov,18075
2017,Technology,Nov,8356
2017,Office Supplies,Nov,10674
2017,Furniture,Dec,18049
2017,Technology,Dec,8326
2017,Office Supplies,Dec,10749
2018,Furniture,Jan,17977
2018,Technology,Jan,8358
2018,Office Supplies,Jan,11002
2018,Furniture,Feb,18169
2018,Technology,Feb,8483
2018,Office Supplies,Feb,10943
2018,Furniture,Mar,18157
2018,Technology,Mar,8404
2018,Office Supplies,Mar,10835
2018,Furniture,Apr,18474
2018,Technology,Apr,8533
2018,Office Supplies,Apr,10766
2018,Furniture,May,18243
2018,Technology,May,8441
2018,Office Supplies,May,10910
2018,Furniture,June,18289
2018,Technology,June,8479
2018,Office Supplies,June,10834
2018,Furniture,July,18233
2018,Technology,July,8385
2018,Office Supplies,July,10555
2018,Furniture,Aug,18152
2018,Technology,Aug,8420
2018,Office Supplies,Aug,10763
2018,Furniture,Sept,17997
2018,Technology,Sept,8268
2018,Office Supplies,Sept,10749
2018,Furniture,Oct,18053
2018,Technology,Oct,8314
2018,Office Supplies,Oct,10990
2018,Furniture,Nov,17957
2018,Technology,Nov,8251
2018,Office Supplies,Nov,10979
2018,Furniture,Dec,17793
2018,Technology,Dec,8133
2018,Office Supplies,Dec,10866
